# first search 
C = 1.0, ETA = 0.0001, ACC = 0.8340000000000002
C = 1.0, ETA = 0.0002, ACC = 0.8220000000000001
C = 1.0, ETA = 0.00030000000000000003, ACC = 0.8240000000000001
C = 1.0, ETA = 0.0004, ACC = 0.8220000000000001
C = 1.0, ETA = 0.0005, ACC = 0.8240000000000001
C = 1.0, ETA = 0.0006000000000000001, ACC = 0.8380000000000001
C = 1.0, ETA = 0.0007000000000000001, ACC = 0.834
C = 1.0, ETA = 0.0008, ACC = 0.8300000000000001
C = 1.0, ETA = 0.0009000000000000001, ACC = 0.8280000000000001
C = 1.0, ETA = 0.001, ACC = 0.8300000000000001
Best C = 0.9, Best ETA = 0.0007000000000000001, Best ACC = 0.8400000000000001
